"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","AFPU_012 - Verify crop info","tests.test_cases.regular_farmer_test_cases","2026-05-07","broken","2026-05-07","TestPOPUpdates","test_pop","",""
"","17","AFPU_010 - Verify crop media options","tests.test_cases.regular_farmer_test_cases","2026-05-07","broken","2026-05-07","TestPOPUpdates","test_pop","",""
"","17","AFPU_001 - Verify navigation to POP updates","tests.test_cases.regular_farmer_test_cases","2026-05-07","broken","2026-05-07","TestPOPUpdates","test_pop","",""
"","9916","add farm","tests.test_cases.regular_farmer_test_cases","2026-05-07","passed","2026-05-07","TestOnboarding","TestOnboarding","",""
"","18","AFPU_003 - Verify audio recording","tests.test_cases.regular_farmer_test_cases","2026-05-07","broken","2026-05-07","TestPOPUpdates","test_pop","",""
"","25","AFPU_007 - Verify navigation back","tests.test_cases.regular_farmer_test_cases","2026-05-07","broken","2026-05-07","TestPOPUpdates","test_pop","",""
"","18","AFPU_006 - Verify general remarks with audio","tests.test_cases.regular_farmer_test_cases","2026-05-07","broken","2026-05-07","TestPOPUpdates","test_pop","",""
"","22","AFPU_005 - Verify video recording","tests.test_cases.regular_farmer_test_cases","2026-05-07","broken","2026-05-07","TestPOPUpdates","test_pop","",""
"","33582","Verify user can login with valid credentials","tests.test_cases.regular_farmer_test_cases","2026-05-07","passed","2026-05-07","TestLogin","test_login_pytest","",""
"","19","AFPU_011 - Verify video playback","tests.test_cases.regular_farmer_test_cases","2026-05-07","broken","2026-05-07","TestPOPUpdates","test_pop","",""
"","21","AFPU_002 - Verify adding POP update with media","tests.test_cases.regular_farmer_test_cases","2026-05-07","broken","2026-05-07","TestPOPUpdates","test_pop","",""
"","18","AFPU_008 - Verify dropdown selection","tests.test_cases.regular_farmer_test_cases","2026-05-07","broken","2026-05-07","TestPOPUpdates","test_pop","",""
"","20","AFPU_009 - Verify audio playback","tests.test_cases.regular_farmer_test_cases","2026-05-07","broken","2026-05-07","TestPOPUpdates","test_pop","",""
"","21","AFPU_004 - Verify image capture","tests.test_cases.regular_farmer_test_cases","2026-05-07","broken","2026-05-07","TestPOPUpdates","test_pop","",""
"","21","AFPU_013 - Verify image media actions","tests.test_cases.regular_farmer_test_cases","2026-05-07","broken","2026-05-07","TestPOPUpdates","test_pop","",""
"","23","AFPU_014 - Verify remarks audio playback","tests.test_cases.regular_farmer_test_cases","2026-05-07","broken","2026-05-07","TestPOPUpdates","test_pop","",""
"","61263","Onboarding the farms and crops","tests.test_cases.regular_farmer_test_cases","2026-05-07","failed","2026-05-07","TestOnboarding","TestOnboarding","",""
