"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_login_enter_phone","tests.test_cases.regular_farmer_test_cases","Thu May 14 22:14:08 IST 2026","broken","Thu May 14 22:14:08 IST 2026","","test_login_pytest","",""
"","33018","Verify user can login with valid credentials","tests.test_cases.regular_farmer_test_cases","Thu May 14 22:14:16 IST 2026","passed","Thu May 14 22:14:50 IST 2026","TestLogin","test_login_pytest","",""
"","107706","FC_001 -- Crop Health Diary, Weather & Moisture Flow","tests.test_cases.regular_farmer_test_cases","Thu May 14 22:14:54 IST 2026","failed","Thu May 14 22:16:41 IST 2026","TestCropHealth","Crophealth","",""
"","0","test_login_verify_otp","tests.test_cases.regular_farmer_test_cases","Thu May 14 22:14:12 IST 2026","broken","Thu May 14 22:14:12 IST 2026","","test_login_pytest","",""
"","0","test_login_permissions","tests.test_cases.regular_farmer_test_cases","Thu May 14 22:14:00 IST 2026","broken","Thu May 14 22:14:00 IST 2026","","test_login_pytest","",""
"","0","test_login_submit_phone","tests.test_cases.regular_farmer_test_cases","Thu May 14 22:14:10 IST 2026","broken","Thu May 14 22:14:10 IST 2026","","test_login_pytest","",""
"","0","test_login_permissions_location","tests.test_cases.regular_farmer_test_cases","Thu May 14 22:14:02 IST 2026","broken","Thu May 14 22:14:02 IST 2026","","test_login_pytest","",""
"","0","test_login_permissions_audio","tests.test_cases.regular_farmer_test_cases","Thu May 14 22:14:04 IST 2026","broken","Thu May 14 22:14:04 IST 2026","","test_login_pytest","",""
"","0","test_login_permissions_notifications","tests.test_cases.regular_farmer_test_cases","Thu May 14 22:14:06 IST 2026","broken","Thu May 14 22:14:06 IST 2026","","test_login_pytest","",""
"","0","test_login_success","tests.test_cases.regular_farmer_test_cases","Thu May 14 22:13:42 IST 2026","broken","Thu May 14 22:13:42 IST 2026","","test_login_pytest","",""
