CRASH START: 05-03 14:14:21.905 22223 22223 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 2000 <<<<<<
05-03 14:14:21.953   560   560 E adbd    : failed to connect to socket 'tcp:6790': Connection refused
05-03 14:14:21.965 22223 22223 I AndroidRuntime: Using default boot image
05-03 14:14:21.965 22223 22223 I AndroidRuntime: Leaving lock profiling enabled
05-03 14:14:21.977 22223 22223 I app_process: Using CollectorTypeCMC GC.
05-03 14:14:22.031   721   854 D ActivityManager: freezing 9900 com.android.settings
05-03 14:14:22.094   721   854 D ActivityManager: freezing 6247 com.android.keychain
05-03 14:14:22.199   721   854 D ActivityManager: freezing 8314 com.android.providers.calendar
05-03 14:14:22.207   721   915 D InetDiagMessage: Destroyed 0 sockets, proto=IPPROTO_TCP, family=AF_INET, states=14
05-03 14:14:22.209   721   915 D InetDiagMessage: Destroyed 0 sockets, proto=IPPROTO_TCP, family=AF_INET6, states=14
05-03 14:14:22.209   721   915 D InetDiagMessage: Destroyed live tcp sockets for uids={10096} in 7ms
05-03 14:14:22.417 22223 22223 D nativeloader: InitDefaultPublicLibraries for_preload=1: libandroid.so:libaaudio.so:libamidi.so:libbinder_ndk.so:libc.so:libcamera2ndk.so:libdl.so:libEGL.so:libGLESv1_CM.so:libGLESv2.so:libGLESv3.so:libicu.so:libicui18n.so:libicuuc.so:libjnigraphics.so:liblog.so:libmediandk.so:libm.so:libnativehelper.so:libnativewindow.so:libOpenMAXAL.so:libOpenSLES.so:libRS.so:libstdc++.so:libsync.so:libvulkan.so:libwebviewchromium_plat_support.so:libz.so
05-03 14:14:22.506 22223 22223 D nativeloader: Load libicu_jni.so using APEX ns com_android_art for caller /apex/com.android.art/javalib/core-oj.jar: ok
05-03 14:14:22.506 22223 22223 D app_process: u_setTimeZoneFilesDirectory("/apex/com.android.tzdata/etc/tz/versioned/9/icu") succeeded. 
05-03 14:14:22.514 22223 22223 D app_process: I18n APEX ICU file found: /apex/com.android.i18n/etc/icu/icudt76l.dat
05-03 14:14:22.534 22223 22223 D nativeloader: Load libjavacore.so using APEX ns com_android_art for caller /apex/com.android.art/javalib/core-oj.jar: ok
05-03 14:14:22.548 22223 22223 D nativeloader: Load libopenjdk.so using APEX ns com_android_art for caller /apex/com.android.art/javalib/core-oj.jar: ok
05-03 14:14:22.571 22223 22223 W app_process: Unexpected CPU variant for x86: x86_64.
05-03 14:14:22.571 22223 22223 W app_process: Known variants: atom, sandybridge, silvermont, goldmont, goldmont-plus, goldmont-without-sha-xsaves, tremont, kabylake, alderlake, default
05-03 14:14:22.815 22223 22223 D nativeloader: Load libframework-connectivity-tiramisu-jni.so using APEX ns com_android_tethering for caller /apex/com.android.tethering/javalib/framework-connectivity-t.jar: ok
05-03 14:14:22.819 22223 22223 D AndroidRuntime: Calling main entry com.android.commands.am.Am
05-03 14:14:22.843 22223 22223 I AconfigPackage: android.media.swcodec.flags is mapped to com.android.media.swcodec
05-03 14:14:22.848 22223 22223 I AconfigPackage: com.google.android.settings.simplemode.flags is mapped to system_ext
05-03 14:14:22.848 22223 22223 I AconfigPackage: com.google.android.systemui is mapped to system_ext
05-03 14:14:22.848 22223 22223 I AconfigPackage: com.google.android.apps.nexuslauncher is mapped to system_ext
05-03 14:14:22.848 22223 22223 I AconfigPackage: com.android.settings.accessibility is mapped to system_ext
05-03 14:14:22.848 22223 22223 I AconfigPackage: com.android.settings.flags is mapped to system_ext
05-03 14:14:22.848 22223 22223 I AconfigPackage: com.google.android.apps.miphone.aiai.matchmaker.overview.ui is mapped to system_ext
05-03 14:14:22.848 22223 22223 I AconfigPackage: com.google.android.settings.flags is mapped to system_ext
05-03 14:14:22.848 22223 22223 I AconfigPackage: com.android.launcher3 is mapped to system_ext
05-03 14:14:22.848 22223 22223 I AconfigPackage: com.android.wallpaper is mapped to system_ext
05-03 14:14:22.848 22223 22223 I AconfigPackage: com.android.settings.media_drm is mapped to system_ext
05-03 14:14:22.848 22223 22223 I AconfigPackage: com.android.systemui.accessibility.accessibilitymenu is mapped to system_ext
05-03 14:14:22.849 22223 22223 I AconfigPackage: com.android.settings.keyboard is mapped to system_ext
05-03 14:14:22.849 22223 22223 I AconfigPackage: com.android.server.policy.feature.flags is mapped to system_ext
05-03 14:14:22.849 22223 22223 I AconfigPackage: com.android.settings.factory_reset is mapped to system_ext
05-03 14:14:22.849 22223 22223 I AconfigPackage: com.google.android.haptics.flags is mapped to system_ext
05-03 14:14:22.856 22223 22223 I AconfigPackage: com.android.permission.flags is mapped to com.android.permission
05-03 14:14:22.861 22223 22223 I AconfigPackage: com.android.icu is mapped to com.android.i18n
05-03 14:14:22.866 22223 22223 I AconfigPackage: com.android.appsearch.flags is mapped to com.android.appsearch
05-03 14:14:22.870 22223 22223 I AconfigPackage: android.uprobestats.mainline.flags is mapped to com.android.uprobestats
05-03 14:14:22.877 22223 22223 I AconfigPackage: android.provider.flags is mapped to com.android.configinfrastructure
05-03 14:14:22.877 22223 22223 I AconfigPackage: com.android.server.deviceconfig is mapped to com.android.configinfrastructure
05-03 14:14:22.878 22223 22223 I AconfigPackage: com.android.nfc.flags is mapped to system
05-03 14:14:22.878 22223 22223 I AconfigPackage: android.app.admin.flags is mapped to system
05-03 14:14:22.878 22223 22223 I AconfigPackage: android.database.sqlite is mapped to system
05-03 14:14:22.878 22223 22223 I AconfigPackage: com.android.providers.calendar is mapped to system
05-03 14:14:22.878 22223 22223 I AconfigPackage: com.android.server.power.feature.flags is mapped to system
05-03 14:14:22.878 22223 22223 I AconfigPackage: com.android.media.performance.flags is mapped to system
05-03 14:14:22.878 22223 22223 I AconfigPackage: android.app.contextualsearch.flags is mapped to system
05-03 14:14:22.878 22223 22223 I AconfigPackage: android.app.ondeviceintelligence.flags is mapped to system
05-03 14:14:22.879 22223 22223 I AconfigPackage: com.android.media.projection.flags is mapped to system
05-03 14:14:22.879 22223 22223 I AconfigPackage: android.companion is mapped to system
05-03 14:14:22.880 22223 22223 I AconfigPackage: android.service.controls.flags is mapped to system
05-03 14:14:22.881 22223 22223 I AconfigPackage: com.android.text.flags is mapped to system
05-03 14:14:22.881 22223 22223 I AconfigPackage: com.android.providers.contactkeys.flags is mapped to system
05-03 14:14:22.881 22223 22223 I AconfigPackage: com.android.intentresolver is mapped to system
05-03 14:14:22.881 22223 22223 I AconfigPackage: android.companion.virtualdevice.flags is mapped to system
05-03 14:14:22.881 22223 22223 I AconfigPackage: android.uprobestats.flags is mapped to system
05-03 14:14:22.881 22223 22223 I AconfigPackage: com.android.net.thread.platform.flags is mapped to system
05-03 14:14:22.881 22223 22223 I AconfigPackage: android.view.contentprotection.flags is mapped to system
05-03 14:14:22.881 22223 22223 I AconfigPackage: com.android.server.dreams is mapped to system
05-03 14:14:22.882 22223 22223 I AconfigPackage: com.android.graphics.surfaceflinger.flags is mapped to system
05-03 14:14:22.882 22223 22223 I AconfigPackage: com.android.hardware.input is mapped to system
05-03 14:14:22.882 22223 22223 I AconfigPackage: android.sdk is mapped to system
05-03 14:14:22.882 22223 22223 I AconfigPackage: com.android.input.flags is mapped to system
05-03 14:14:22.883 22223 22223 I AconfigPackage: android.tracing is mapped to system
