Test Name,Step,Status,Duration (s),Suite,Message,Screenshot
Dashboard → Add Farmer → Add Farm → Add Crop,,PASSED,98.78,N/A,,
Dashboard → Add Farmer → Add Farm → Add Crop,1. 1. Click Add button,PASSED,2.04,N/A,,
Dashboard → Add Farmer → Add Farm → Add Crop,2. 2. Click Add New Farmer,PASSED,1.24,N/A,,
Dashboard → Add Farmer → Add Farm → Add Crop,3. 3. Select Farm Village,PASSED,4.38,N/A,,
Dashboard → Add Farmer → Add Farm → Add Crop,4. 4. Select specific Farm Village,PASSED,3.42,N/A,,
Dashboard → Add Farmer → Add Farm → Add Crop,5. 5. Download Boundary,PASSED,10.37,N/A,,
Dashboard → Add Farmer → Add Farm → Add Crop,6. 6. Submit Farm Village,PASSED,20.73,N/A,,
Dashboard → Add Farmer → Add Farm → Add Crop,7. 7. Search Bund,PASSED,2.56,N/A,,
Dashboard → Add Farmer → Add Farm → Add Crop,8. 8.Enter Bund Number,PASSED,4.21,N/A,,
Dashboard → Add Farmer → Add Farm → Add Crop,9. 9. Select Bund 20,PASSED,7.18,N/A,,
Dashboard → Add Farmer → Add Farm → Add Crop,10. 10. Click Map Marker to confirm bund selection,PASSED,2.03,N/A,,
Dashboard → Add Farmer → Add Farm → Add Crop,11. 11. Confirm Bund,PASSED,3.51,N/A,,
Dashboard → Add Farmer → Add Farm → Add Crop,12. 12. Add Farmer Name,PASSED,2.04,N/A,,
Dashboard → Add Farmer → Add Farm → Add Crop,13. 13. Add Farmer Phone,PASSED,2.1,N/A,,
Dashboard → Add Farmer → Add Farm → Add Crop,14. 14. Submit Farmer,PASSED,4.83,N/A,,
Dashboard → Add Farmer → Add Farm → Add Crop,15. 15.crop name dropdown and selection,PASSED,2.18,N/A,,
Dashboard → Add Farmer → Add Farm → Add Crop,16. 16. Click on 'Crop Name' list item in dropdown,PASSED,17.11,N/A,,
Dashboard → Add Farmer → Add Farm → Add Crop,17. 17. Select Transplanted Date,PASSED,3.14,N/A,,
Dashboard → Add Farmer → Add Farm → Add Crop,18. 19. Calendar OK Button,PASSED,0.53,N/A,,
Dashboard → Add Farmer → Add Farm → Add Crop,19. 18. Select Sowing Date,PASSED,0.96,N/A,,
Dashboard → Add Farmer → Add Farm → Add Crop,20. 19. Calendar OK Button,PASSED,1.54,N/A,,
Dashboard → Add Farmer → Add Farm → Add Crop,21. 20. Submit Crop,PASSED,2.58,N/A,,
Dashboard → Add Farmer → Add Farm → Add Crop,22. 20. Android Back,PASSED,0.12,N/A,,
Verify user can login with valid credentials,,FAILED,32.25,N/A,,http://localhost:8000/allure-results/d5399f5e-c338-4e7b-9738-1d91ecd44536-attachment.png
Verify user can login with valid credentials,1. 1. Allow picture,PASSED,2.55,N/A,,
Verify user can login with valid credentials,2. 2. Allow location,PASSED,1.13,N/A,,
Verify user can login with valid credentials,3. 3. Allow audio,PASSED,1.18,N/A,,
Verify user can login with valid credentials,4. 4. Allow notifications,PASSED,1.47,N/A,,
Verify user can login with valid credentials,5. 5. Next button on language selection screen,PASSED,1.49,N/A,,
Verify user can login with valid credentials,6. 6. Enter phone number,PASSED,2.83,N/A,,
Verify user can login with valid credentials,7. 7. Tap next button,PASSED,1.04,N/A,,
Verify user can login with valid credentials,8. 8. Wait for OTP and verify,PASSED,20.56,N/A,,
